No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes
1,SaaS (General),"saas, general",#2563EB,#3B82F6,#1D4ED8,#F8FAFC,#0F172A,#E2E8F0,Trust blue system on cool grey surfaces with a deeper blue CTA. CTA label: light text (6.7:1)
2,Micro SaaS,"micro, saas",#4F46E5,#818CF8,#4338CA,#FFFFFF,#1E1B4B,#E0E7FF,Indigo primary with generous white space and one saturated CTA. CTA label: light text (7.9:1)
3,E-commerce,commerce,#2563EB,#60A5FA,#047857,#FFFFFF,#0F172A,#E2E8F0,Blue brand with a green add to cart CTA on white. CTA label: light text (5.5:1)
4,E-commerce Luxury,"commerce, luxury",#1C1917,#57534E,#A16207,#FAFAF9,#0C0A09,#E7E5E4,Espresso black with champagne gold accent and white space. CTA label: light text (4.9:1)
5,Service Landing Page,"service, landing, page",#0EA5E9,#38BDF8,#0369A1,#F8FAFC,#0F172A,#E2E8F0,Sky blue trust with a deep blue CTA on a light canvas. CTA label: light text (5.9:1)
6,B2B Service,"b2b, service",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Corporate navy with grey surfaces and a professional blue CTA. CTA label: light text (5.9:1)
7,Financial Dashboard,"financial, dashboard",#2563EB,#DC2626,#15803D,#0B1220,#E2E8F0,#1E293B,Dark trading surface with red loss and green gain alerts over a blue base. CTA label: light text (5.0:1)
8,Analytics Dashboard,"analytics, dashboard",#0EA5E9,#F97316,#027AB8,#0F172A,#E2E8F0,#1E293B,Cool to hot scale from blue to orange on dark grey chrome. CTA label: light text (4.7:1)
9,Healthcare App,"healthcare, app",#0891B2,#22D3EE,#047857,#ECFEFF,#164E63,#A5F3FC,Calm cyan base with a health green CTA on an airy clinical canvas. CTA label: light text (5.5:1)
10,Educational App,"educational, app",#4F46E5,#818CF8,#F59E0B,#EEF2FF,#1E1B4B,#C7D2FE,Indigo learning base with a warm amber CTA and clear hierarchy. CTA label: Text token (7.4:1)
11,Creative Agency,"creative, agency",#EC4899,#F472B6,#BE185D,#FDF2F8,#500724,#FBCFE8,Bold pink primaries with a deep magenta CTA on a blush canvas. CTA label: light text (6.0:1)
